Time,CLASSROOM_LEFT:KALAMATAWINTERDESIGNDAY:Des Heat Load [W],CLASSROOM_LEFT:KALAMATASUMMERDESIGNDAY:Des Sens Cool Load [W],CLASSROOM_LEFT:KALAMATAWINTERDESIGNDAY:Des Heat Mass Flow [kg/s],CLASSROOM_LEFT:KALAMATASUMMERDESIGNDAY:Des Cool Mass Flow [kg/s],CLASSROOM_LEFT::Des Latent Heat Load [W],CLASSROOM_LEFT::Des Latent Cool Load [W],CLASSROOM_LEFT::Des Latent Heat Mass Flow [kg/s],CLASSROOM_LEFT::Des Latent Cool Mass Flow [kg/s],CLASSROOM_LEFT::Des Heat Load No DOAS [W],CLASSROOM_LEFT::Des Sens Cool Load No DOAS [W],CLASSROOM_LEFT::Des Latent Heat Load No DOAS [W],CLASSROOM_LEFT::Des Latent Cool Load No DOAS [W],CLASSROOM_LEFT:KALAMATAWINTERDESIGNDAY:Heating Zone Temperature [C],CLASSROOM_LEFT:KALAMATAWINTERDESIGNDAY:Heating Zone Relative Humidity [%],CLASSROOM_LEFT:KALAMATASUMMERDESIGNDAY:Cooling Zone Temperature [C],CLASSROOM_LEFT:KALAMATASUMMERDESIGNDAY:Cooling Zone Relative Humidity [%],CLASSROOM_RIGHT:KALAMATAWINTERDESIGNDAY:Des Heat Load [W],CLASSROOM_RIGHT:KALAMATASUMMERDESIGNDAY:Des Sens Cool Load [W],CLASSROOM_RIGHT:KALAMATAWINTERDESIGNDAY:Des Heat Mass Flow [kg/s],CLASSROOM_RIGHT:KALAMATASUMMERDESIGNDAY:Des Cool Mass Flow [kg/s],CLASSROOM_RIGHT::Des Latent Heat Load [W],CLASSROOM_RIGHT::Des Latent Cool Load [W],CLASSROOM_RIGHT::Des Latent Heat Mass Flow [kg/s],CLASSROOM_RIGHT::Des Latent Cool Mass Flow [kg/s],CLASSROOM_RIGHT::Des Heat Load No DOAS [W],CLASSROOM_RIGHT::Des Sens Cool Load No DOAS [W],CLASSROOM_RIGHT::Des Latent Heat Load No DOAS [W],CLASSROOM_RIGHT::Des Latent Cool Load No DOAS [W],CLASSROOM_RIGHT:KALAMATAWINTERDESIGNDAY:Heating Zone Temperature [C],CLASSROOM_RIGHT:KALAMATAWINTERDESIGNDAY:Heating Zone Relative Humidity [%],CLASSROOM_RIGHT:KALAMATASUMMERDESIGNDAY:Cooling Zone Temperature [C],CLASSROOM_RIGHT:KALAMATASUMMERDESIGNDAY:Cooling Zone Relative Humidity [%],HALLWAY_ROOM3:KALAMATAWINTERDESIGNDAY:Des Heat Load [W],HALLWAY_ROOM3:KALAMATASUMMERDESIGNDAY:Des Sens Cool Load [W],HALLWAY_ROOM3:KALAMATAWINTERDESIGNDAY:Des Heat Mass Flow [kg/s],HALLWAY_ROOM3:KALAMATASUMMERDESIGNDAY:Des Cool Mass Flow [kg/s],HALLWAY_ROOM3::Des Latent Heat Load [W],HALLWAY_ROOM3::Des Latent Cool Load [W],HALLWAY_ROOM3::Des Latent Heat Mass Flow [kg/s],HALLWAY_ROOM3::Des Latent Cool Mass Flow [kg/s],HALLWAY_ROOM3::Des Heat Load No DOAS [W],HALLWAY_ROOM3::Des Sens Cool Load No DOAS [W],HALLWAY_ROOM3::Des Latent Heat Load No DOAS [W],HALLWAY_ROOM3::Des Latent Cool Load No DOAS [W],HALLWAY_ROOM3:KALAMATAWINTERDESIGNDAY:Heating Zone Temperature [C],HALLWAY_ROOM3:KALAMATAWINTERDESIGNDAY:Heating Zone Relative Humidity [%],HALLWAY_ROOM3:KALAMATASUMMERDESIGNDAY:Cooling Zone Temperature [C],HALLWAY_ROOM3:KALAMATASUMMERDESIGNDAY:Cooling Zone Relative Humidity [%],ROOM2_SMALL:KALAMATAWINTERDESIGNDAY:Des Heat Load [W],ROOM2_SMALL:KALAMATASUMMERDESIGNDAY:Des Sens Cool Load [W],ROOM2_SMALL:KALAMATAWINTERDESIGNDAY:Des Heat Mass Flow [kg/s],ROOM2_SMALL:KALAMATASUMMERDESIGNDAY:Des Cool Mass Flow [kg/s],ROOM2_SMALL::Des Latent Heat Load [W],ROOM2_SMALL::Des Latent Cool Load [W],ROOM2_SMALL::Des Latent Heat Mass Flow [kg/s],ROOM2_SMALL::Des Latent Cool Mass Flow [kg/s],ROOM2_SMALL::Des Heat Load No DOAS [W],ROOM2_SMALL::Des Sens Cool Load No DOAS [W],ROOM2_SMALL::Des Latent Heat Load No DOAS [W],ROOM2_SMALL::Des Latent Cool Load No DOAS [W],ROOM2_SMALL:KALAMATAWINTERDESIGNDAY:Heating Zone Temperature [C],ROOM2_SMALL:KALAMATAWINTERDESIGNDAY:Heating Zone Relative Humidity [%],ROOM2_SMALL:KALAMATASUMMERDESIGNDAY:Cooling Zone Temperature [C],ROOM2_SMALL:KALAMATASUMMERDESIGNDAY:Cooling Zone Relative Humidity [%]
00:10:00,7.779170E+02,0.000000E+00,3.202014E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.983597E+01,5.113196E+01,5.392919E+02,0.000000E+00,2.219800E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.091420E+01,4.807141E+01,3.199381E+02,2.073508E+02,1.316901E-02,1.268589E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599985E+01,3.479816E+01,2.999988E+01,3.452530E+01,1.018522E+02,0.000000E+00,4.192376E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.025280E+01,4.992340E+01
00:20:00,7.895860E+02,0.000000E+00,3.250045E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.977129E+01,5.132237E+01,5.606538E+02,0.000000E+00,2.307728E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.083896E+01,4.827802E+01,3.268453E+02,1.948284E+02,1.345332E-02,1.191975E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599985E+01,3.482267E+01,2.999988E+01,3.454365E+01,1.055883E+02,0.000000E+00,4.346160E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.019846E+01,5.007901E+01
00:30:00,8.012929E+02,0.000000E+00,3.298232E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.970585E+01,5.151581E+01,5.817465E+02,0.000000E+00,2.394549E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.076268E+01,4.848855E+01,3.336987E+02,1.822886E+02,1.373541E-02,1.115256E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599985E+01,3.484622E+01,2.999989E+01,3.456340E+01,1.092668E+02,0.000000E+00,4.497574E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.014368E+01,5.023645E+01
00:40:00,8.130961E+02,0.000000E+00,3.346816E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.963959E+01,5.171250E+01,6.025766E+02,0.000000E+00,2.480288E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.068546E+01,4.870271E+01,3.405320E+02,1.697493E+02,1.401668E-02,1.038539E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599985E+01,3.486884E+01,2.999989E+01,3.458467E+01,1.128738E+02,0.000000E+00,4.646039E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.008900E+01,5.039415E+01
00:50:00,8.250821E+02,0.000000E+00,3.396152E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.957248E+01,5.191258E+01,6.231262E+02,0.000000E+00,2.564873E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.060730E+01,4.892056E+01,3.473911E+02,1.572261E+02,1.429901E-02,9.619212E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599986E+01,3.489064E+01,2.999989E+01,3.460758E+01,1.163856E+02,0.000000E+00,4.790592E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.003557E+01,5.054878E+01
01:00:00,8.372837E+02,0.000000E+00,3.446375E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.950449E+01,5.211620E+01,6.433573E+02,0.000000E+00,2.648147E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.052816E+01,4.914225E+01,3.543259E+02,1.447334E+02,1.458445E-02,8.854899E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599986E+01,3.491165E+01,2.999990E+01,3.463230E+01,1.197647E+02,0.000000E+00,4.929681E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.998347E+01,5.070007E+01
01:10:00,8.495928E+02,0.000000E+00,3.497041E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.943553E+01,5.232363E+01,6.644071E+02,0.000000E+00,2.734791E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.044799E+01,4.936800E+01,3.621848E+02,1.331136E+02,1.490793E-02,8.143989E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599986E+01,3.493189E+01,2.999990E+01,3.465896E+01,1.231582E+02,0.000000E+00,5.069360E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.993217E+01,5.084953E+01
01:20:00,8.619600E+02,0.000000E+00,3.547946E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.936564E+01,5.253482E+01,6.856556E+02,0.000000E+00,2.822253E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.036760E+01,4.959555E+01,3.702829E+02,1.215585E+02,1.524126E-02,7.437032E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599986E+01,3.495137E+01,2.999991E+01,3.468774E+01,1.265379E+02,0.000000E+00,5.208472E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.988140E+01,5.099794E+01
01:30:00,8.743628E+02,0.000000E+00,3.598998E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.929578E+01,5.274686E+01,7.070204E+02,0.000000E+00,2.910193E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.028727E+01,4.982412E+01,3.784636E+02,1.100800E+02,1.557799E-02,6.734768E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599986E+01,3.497009E+01,2.999991E+01,3.471880E+01,1.299312E+02,0.000000E+00,5.348147E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.983096E+01,5.114586E+01
01:40:00,8.867830E+02,0.000000E+00,3.650121E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.922637E+01,5.295853E+01,7.285661E+02,0.000000E+00,2.998879E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,3.020687E+01,5.005406E+01,3.867156E+02,9.868863E+01,1.591765E-02,6.037836E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.599986E+01,3.498807E+01,2.999992E+01,3.475237E+01,1.333676E+02,0.000000E+00,5.489594E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.600000E+01,1.894690E+01,2.978074E+01,5.129364E+01
