Time,HAIER_AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],HAIER_AIRLOOP:DesPer 1:Des Heat Cap [W],HAIER_AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],HAIER_AIRLOOP:DesPer 1:Des Sens Cool Cap [W],HAIER_AIRLOOP:DesPer 1:Des Tot Cool Cap [W],HAIER_AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],HAIER_AIRLOOP:DesPer 2:Des Heat Cap [W],HAIER_AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],HAIER_AIRLOOP:DesPer 2:Des Sens Cool Cap [W],HAIER_AIRLOOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,0.000000E+00,0.000000E+00,1.268589E-02,2.192557E+02,2.431573E+02,1.316901E-02,9.265085E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:20:00,0.000000E+00,0.000000E+00,1.191975E-02,2.060144E+02,2.286225E+02,1.345332E-02,9.465109E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:30:00,0.000000E+00,0.000000E+00,1.115256E-02,1.927547E+02,2.140588E+02,1.373541E-02,9.663574E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:40:00,0.000000E+00,0.000000E+00,1.038539E-02,1.794954E+02,1.994857E+02,1.401668E-02,9.861451E+00,0.000000E+00,0.000000E+00,0.000000E+00
00:50:00,0.000000E+00,0.000000E+00,9.619212E-03,1.662532E+02,1.849200E+02,1.429901E-02,1.006007E+01,0.000000E+00,0.000000E+00,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,8.854899E-03,1.530433E+02,1.703771E+02,1.458445E-02,1.026088E+01,0.000000E+00,0.000000E+00,0.000000E+00
01:10:00,0.000000E+00,0.000000E+00,8.143989E-03,1.407563E+02,1.568476E+02,1.490793E-02,1.048844E+01,0.000000E+00,0.000000E+00,0.000000E+00
01:20:00,0.000000E+00,0.000000E+00,7.437032E-03,1.285377E+02,1.433790E+02,1.524126E-02,1.072292E+01,0.000000E+00,0.000000E+00,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,6.734768E-03,1.164002E+02,1.299837E+02,1.557799E-02,1.095980E+01,0.000000E+00,0.000000E+00,0.000000E+00
01:40:00,0.000000E+00,0.000000E+00,6.037836E-03,1.043548E+02,1.166718E+02,1.591765E-02,1.119874E+01,0.000000E+00,0.000000E+00,0.000000E+00
01:50:00,0.000000E+00,0.000000E+00,5.346815E-03,9.241158E+01,1.034522E+02,1.625946E-02,1.143919E+01,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,4.662242E-03,8.057980E+01,9.033285E+01,1.660278E-02,1.168070E+01,0.000000E+00,0.000000E+00,0.000000E+00
02:10:00,0.000000E+00,0.000000E+00,3.984032E-03,6.885800E+01,7.730912E+01,1.694710E-02,1.192292E+01,0.000000E+00,0.000000E+00,0.000000E+00
02:20:00,0.000000E+00,0.000000E+00,3.312420E-03,5.725022E+01,6.438223E+01,1.729199E-02,1.216554E+01,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,2.647779E-03,4.576292E+01,5.155568E+01,1.763708E-02,1.240830E+01,0.000000E+00,0.000000E+00,0.000000E+00
02:40:00,0.000000E+00,0.000000E+00,1.990521E-03,3.440320E+01,3.883322E+01,1.798207E-02,1.265098E+01,0.000000E+00,0.000000E+00,0.000000E+00
02:50:00,0.000000E+00,0.000000E+00,1.384241E-03,2.392456E+01,2.706235E+01,1.832666E-02,1.289339E+01,0.000000E+00,0.000000E+00,0.000000E+00
